timestamp,value
1001, 20
2001, 40.5
3001, 61.5
4001, 63
5001, 64.5
6001, 66
7001, 67.5
8001, 70
9001, 71.8
10001, 71.5
11001, 66.9
12001, 59.900000000000006
13001, 57.2
14001, 57.800000000000004
15002, 61.5
16001, 63
17001, 64.5
18001, 66
19001, 67.5
20001, 70
21001, 71.8
22001, 71.5
23001, 66.9
24002, 59.900000000000006
25001, 57.2
26001, 57.800000000000004
27002, 61.5
28002, 63
29001, 64.5
30001, 66
31001, 67.5
32001, 70
33001, 71.8
34001, 71.5
35001, 66.9
36001, 59.900000000000006
37001, 57.2
38001, 57.800000000000004
39001, 61.5
40001, 63
41001, 64.5
42001, 66
43001, 67.5
44001, 70
45001, 71.8
46001, 71.5
47001, 66.9
48001, 59.900000000000006
49001, 57.2
50001, 57.800000000000004
51001, 61.5
52001, 63
53001, 64.5
54001, 66
55001, 67.5
56001, 70
57001, 71.8
58001, 71.5
59001, 66.9
60001, 59.900000000000006
61001, 57.2
62001, 57.800000000000004
63001, 61.5
64001, 63
65001, 64.5
66001, 66
67001, 67.5
68001, 70
69001, 71.8
70001, 71.5
71001, 66.9
72001, 59.900000000000006
73001, 57.2
74001, 57.800000000000004
75001, 61.5
76001, 63
77002, 64.5
78001, 66
79002, 67.5
80001, 70
81001, 71.8
82001, 71.5
83001, 66.9
84001, 59.900000000000006
85001, 57.2
86001, 57.800000000000004
87002, 61.5
88001, 63
89001, 64.5
90001, 66
91001, 67.5
92001, 70
93001, 71.8
94001, 71.5
95001, 66.9
96001, 59.900000000000006
97001, 57.2
98001, 57.800000000000004
99001, 61.5
100001, 63
101001, 64.5
102001, 66
103001, 67.5
104002, 70
105001, 71.8
106001, 71.5
107002, 66.9
108001, 59.900000000000006
109001, 57.2
110001, 57.800000000000004
111001, 61.5
112001, 63
113001, 64.5
114001, 66
115001, 67.5
116001, 70
117001, 71.8
118001, 71.5
119001, 66.9
120001, 59.900000000000006
121001, 57.2
122001, 57.800000000000004
