timestamp,value
1001, 20
2001, 20.5
3001, 21
4001, 21.5
5001, 22
6001, 22.5
7001, 23
8001, 24.5
9001, 24.3
10001, 22.7
11001, 19.9
12001, 17.3
13001, 20
14001, 20.5
15002, 21
16001, 21.5
17001, 22
18001, 22.5
19001, 23
20001, 24.5
21001, 24.3
22001, 22.7
23001, 19.9
24002, 17.3
25001, 20
26001, 20.5
27002, 21
28002, 21.5
29001, 22
30001, 22.5
31001, 23
32001, 24.5
33001, 24.3
34001, 22.7
35001, 19.9
36001, 17.3
37001, 20
38001, 20.5
39001, 21
40001, 21.5
41001, 22
42001, 22.5
43001, 23
44001, 24.5
45001, 24.3
46001, 22.7
47001, 19.9
48001, 17.3
49001, 20
50001, 20.5
51001, 21
52001, 21.5
53001, 22
54001, 22.5
55001, 23
56001, 24.5
57001, 24.3
58001, 22.7
59001, 19.9
60001, 17.3
61001, 20
62001, 20.5
63001, 21
64001, 21.5
65001, 22
66001, 22.5
67001, 23
68001, 24.5
69001, 24.3
70001, 22.7
71001, 19.9
72001, 17.3
73001, 20
74001, 20.5
75001, 21
76001, 21.5
77001, 22
78001, 22.5
79002, 23
80001, 24.5
81001, 24.3
82001, 22.7
83001, 19.9
84001, 17.3
85001, 20
86001, 20.5
87001, 21
88001, 21.5
89001, 22
90001, 22.5
91001, 23
92001, 24.5
93001, 24.3
94001, 22.7
95001, 19.9
96001, 17.3
97001, 20
98001, 20.5
99001, 21
100001, 21.5
101001, 22
102001, 22.5
103001, 23
104002, 24.5
105001, 24.3
106001, 22.7
107001, 19.9
108001, 17.3
109001, 20
110001, 20.5
111001, 21
112001, 21.5
113001, 22
114001, 22.5
115001, 23
116001, 24.5
117001, 24.3
118001, 22.7
119001, 19.9
120001, 17.3
121001, 20
122001, 20.5
