timestamp,value
1002, 61.7
2001, 59.4
3001, 58.8
4001, 56.3
5001, 63.5
6001, 62.2
7001, 68.1
8001, 73.6
9001, 72.9
10001, 76.4
11001, 78.7
12001, 74.3
13001, 61.7
14001, 59.4
15002, 58.8
16001, 56.3
17001, 63.5
18001, 62.2
19001, 68.1
20001, 73.6
21001, 72.9
22001, 76.4
23001, 78.7
24001, 74.3
25001, 61.7
26001, 59.4
27001, 58.8
28001, 56.3
29001, 63.5
30001, 62.2
31001, 68.1
32001, 73.6
33001, 72.9
34001, 76.4
35001, 78.7
36001, 74.3
37001, 61.7
38001, 59.4
39001, 58.8
40001, 56.3
41001, 63.5
42001, 62.2
43001, 68.1
44001, 73.6
45001, 72.9
46001, 76.4
47001, 78.7
48001, 74.3
49001, 61.7
50001, 59.4
51001, 58.8
52001, 56.3
53001, 63.5
54001, 62.2
55001, 68.1
56001, 73.6
57001, 72.9
58001, 76.4
59001, 78.7
60001, 74.3
61001, 61.7
62001, 59.4
63001, 58.8
64001, 56.3
65001, 63.5
66001, 62.2
67001, 68.1
68001, 73.6
69001, 72.9
70001, 76.4
71001, 78.7
72001, 74.3
73001, 61.7
74001, 59.4
75001, 58.8
76001, 56.3
77001, 63.5
78001, 62.2
79001, 68.1
80001, 73.6
81001, 72.9
82001, 76.4
83001, 78.7
84001, 74.3
85001, 61.7
86001, 59.4
87001, 58.8
88001, 56.3
89001, 63.5
90001, 62.2
91001, 68.1
92001, 73.6
93001, 72.9
94001, 76.4
95001, 78.7
96001, 74.3
97001, 61.7
98001, 59.4
99001, 58.8
100001, 56.3
101001, 63.5
102001, 62.2
103001, 68.1
104001, 73.6
105001, 72.9
106001, 76.4
107001, 78.7
108001, 74.3
109001, 61.7
110001, 59.4
111001, 58.8
112001, 56.3
113001, 63.5
114001, 62.2
115001, 68.1
116001, 73.6
117001, 72.9
118001, 76.4
119001, 78.7
120001, 74.3
121001, 61.7
122001, 59.4
