timestamp,value
1000, 20
2001, 20.5
3000, 21
4001, 21.5
5001, 22
6001, 22.5
7000, 23
8001, 24.5
9000, 24.3
10000, 22.7
11000, 19.9
12001, 17.3
13000, 20
14000, 20.5
15001, 21
16000, 21.5
17001, 22
18001, 22.5
19000, 23
20001, 24.5
21000, 24.3
22001, 22.7
23001, 19.9
24001, 17.3
25000, 20
26001, 20.5
27001, 21
28001, 21.5
29000, 22
30001, 22.5
31000, 23
32001, 24.5
33001, 24.3
34000, 22.7
35000, 19.9
36000, 17.3
37000, 20
38000, 20.5
39000, 21
40000, 21.5
41000, 22
42000, 22.5
43000, 23
44001, 24.5
45000, 24.3
46000, 22.7
47000, 19.9
48000, 17.3
49000, 20
50000, 20.5
51001, 21
52000, 21.5
53000, 22
54000, 22.5
55000, 23
56000, 24.5
57000, 24.3
58000, 22.7
59000, 19.9
60000, 17.3
61000, 20
62000, 20.5
63000, 21
64000, 21.5
65000, 22
66000, 22.5
67000, 23
68000, 24.5
69001, 24.3
70001, 22.7
71000, 19.9
72000, 17.3
73000, 20
74000, 20.5
75001, 21
76000, 21.5
77000, 22
78000, 22.5
79001, 23
80001, 24.5
81000, 24.3
82001, 22.7
83000, 19.9
84001, 17.3
85000, 20
86000, 20.5
87001, 21
88000, 21.5
89000, 22
90001, 22.5
91000, 23
92000, 24.5
93001, 24.3
94001, 22.7
95000, 19.9
96000, 17.3
97000, 20
98000, 20.5
99000, 21
100000, 21.5
101000, 22
102000, 22.5
103000, 23
104000, 24.5
105000, 24.3
106000, 22.7
107000, 19.9
108000, 17.3
109000, 20
110000, 20.5
111000, 21
112000, 21.5
113000, 22
114000, 22.5
115000, 23
116001, 24.5
117001, 24.3
118000, 22.7
119000, 19.9
120000, 17.3
121000, 20
122000, 20.5
123000, 21
124000, 21.5
