timestamp,value
1000, 61.7
2000, 59.4
3000, 58.8
4000, 56.3
5001, 63.5
6001, 62.2
7000, 68.1
8001, 73.6
9000, 72.9
10000, 76.4
11000, 78.7
12001, 74.3
13000, 61.7
14000, 59.4
15001, 58.8
16000, 56.3
17000, 63.5
18001, 62.2
19000, 68.1
20000, 73.6
21000, 72.9
22001, 76.4
23001, 78.7
24001, 74.3
25001, 61.7
26001, 59.4
27000, 58.8
28001, 56.3
29000, 63.5
30001, 62.2
31000, 68.1
32001, 73.6
33001, 72.9
34000, 76.4
35000, 78.7
36000, 74.3
37001, 61.7
38000, 59.4
39000, 58.8
40000, 56.3
41000, 63.5
42000, 62.2
43000, 68.1
44000, 73.6
45000, 72.9
46000, 76.4
47000, 78.7
48000, 74.3
49000, 61.7
50001, 59.4
51001, 58.8
52000, 56.3
53000, 63.5
54000, 62.2
55000, 68.1
56000, 73.6
57000, 72.9
58000, 76.4
59000, 78.7
60000, 74.3
61000, 61.7
62000, 59.4
63000, 58.8
64000, 56.3
65000, 63.5
66000, 62.2
67000, 68.1
68000, 73.6
69000, 72.9
70000, 76.4
71000, 78.7
72000, 74.3
73000, 61.7
74000, 59.4
75001, 58.8
76001, 56.3
77000, 63.5
78000, 62.2
79001, 68.1
80001, 73.6
81000, 72.9
82001, 76.4
83000, 78.7
84001, 74.3
85001, 61.7
86000, 59.4
87001, 58.8
88000, 56.3
89000, 63.5
90001, 62.2
91000, 68.1
92000, 73.6
93000, 72.9
94001, 76.4
95000, 78.7
96001, 74.3
97000, 61.7
98000, 59.4
99000, 58.8
100000, 56.3
101000, 63.5
102000, 62.2
103000, 68.1
104000, 73.6
105000, 72.9
106000, 76.4
107000, 78.7
108000, 74.3
109000, 61.7
110001, 59.4
111000, 58.8
112000, 56.3
113000, 63.5
114000, 62.2
115000, 68.1
116000, 73.6
117000, 72.9
118000, 76.4
119000, 78.7
120000, 74.3
121000, 61.7
122000, 59.4
123000, 58.8
124000, 56.3
