# timestamp,line
1618318206659,Received value from mavg/room1/temp value 20
1618318206659,Received value from mavg/room1/rhum value 50
1618318206659,Received value from mavg/room2/temp value 19.3
1618318206659,Publishing value to func/room1/ahum value: 8.639091242147579
1618318206659,Received value from mavg/room2/rhum value 61.7
1618318206659,Publishing value to func/room2/ahum value: 10.23133645092664
1618318207658,Received value from mavg/room2/rhum value 121.1
1618318207658,Received value from mavg/room2/temp value 39
1618318207659,Received value from mavg/room1/temp value 40.5
1618318207659,Received value from mavg/room1/rhum value 105.3
1618318207659,Publishing value to func/room2/ahum value: 58.927824619222186
1618318207659,Publishing value to func/room1/ahum value: 55.26609434078813
1618318208658,Received value from mavg/room2/temp value 58.5
1618318208658,Received value from mavg/room1/rhum value 168.4
1618318208658,Received value from mavg/room2/rhum value 179.89999999999998
1618318208658,Received value from mavg/room1/temp value 61.5
1618318208658,Publishing value to func/room2/ahum value: 220.28769909444048
1618318208659,Publishing value to func/room1/ahum value: 235.09894068910822
1618318209658,Received value from mavg/room1/rhum value 184
1618318209659,Received value from mavg/room2/rhum value 174.49999999999997
1618318209659,Received value from mavg/room1/temp value 63
1618318209659,Publishing value to func/room1/ahum value: 274.01069496639934
1618318209659,Received value from mavg/room2/temp value 59.8
1618318209659,Publishing value to func/room2/ahum value: 226.24350817285907
1618318210658,Received value from mavg/room2/temp value 60.5
1618318210658,Received value from mavg/room1/rhum value 205.9
1618318210658,Received value from mavg/room1/temp value 64.5
1618318210659,Publishing value to func/room1/ahum value: 326.86148209849586
1618318210659,Received value from mavg/room2/rhum value 178.59999999999997
1618318210659,Publishing value to func/room2/ahum value: 238.74617862265475
1618318211659,Received value from mavg/room2/temp value 64.7
1618318211659,Received value from mavg/room1/rhum value 219.6
1618318211659,Received value from mavg/room2/rhum value 181.99999999999997
1618318211659,Publishing value to func/room2/ahum value: 291.379254187048
1618318211659,Received value from mavg/room1/temp value 66
1618318211659,Publishing value to func/room1/ahum value: 371.37974518450005
1618318212658,Received value from mavg/room2/rhum value 193.79999999999995
1618318212658,Received value from mavg/room2/temp value 66.1
1618318212658,Received value from mavg/room1/rhum value 238.9
1618318212658,Publishing value to func/room2/ahum value: 329.1256440171439
1618318212658,Received value from mavg/room1/temp value 67.5
1618318212658,Publishing value to func/room1/ahum value: 430.1355789378021
1618318213658,Received value from mavg/room2/rhum value 203.89999999999995
1618318213658,Received value from mavg/room2/temp value 69.89999999999999
1618318213658,Publishing value to func/room2/ahum value: 405.2933459637378
1618318213659,Received value from mavg/room1/rhum value 242.7
1618318213659,Received value from mavg/room1/temp value 70
1618318213659,Publishing value to func/room1/ahum value: 484.39240540600275
1618318214658,Received value from mavg/room1/rhum value 255.6
1618318214658,Received value from mavg/room2/temp value 72.3
1618318214658,Received value from mavg/room1/temp value 71.8
1618318214658,Received value from mavg/room2/rhum value 214.59999999999997
1618318214658,Publishing value to func/room1/ahum value: 548.8375450293175
1618318214658,Publishing value to func/room2/ahum value: 470.1829680054766
1618318215658,Received value from mavg/room1/temp value 71.5
1618318215658,Received value from mavg/room2/temp value 75.6
1618318215658,Received value from mavg/room2/rhum value 222.89999999999998
1618318215659,Received value from mavg/room1/rhum value 264
1618318215659,Publishing value to func/room2/ahum value: 556.9423606103252
1618318215659,Publishing value to func/room1/ahum value: 560.0418773946789
1618318216658,Received value from mavg/room1/rhum value 257.8
1618318216658,Received value from mavg/room2/temp value 76.19999999999999
1618318216658,Received value from mavg/room2/rhum value 228
1618318216659,Received value from mavg/room1/temp value 66.9
1618318216659,Publishing value to func/room2/ahum value: 583.2820320918778
1618318216659,Publishing value to func/room1/ahum value: 452.7136121787219
1618318217658,Received value from mavg/room1/temp value 59.900000000000006
1618318217659,Received value from mavg/room1/rhum value 227.5
1618318217659,Publishing value to func/room1/ahum value: 296.2526966537522
1618318217659,Received value from mavg/room2/temp value 72.99999999999999
1618318217659,Received value from mavg/room2/rhum value 229.39999999999998
1618318217659,Publishing value to func/room2/ahum value: 516.9377006683372
1618318218658,Received value from mavg/room2/temp value 66.99999999999999
1618318218658,Received value from mavg/room2/rhum value 214.7
1618318218658,Received value from mavg/room1/temp value 57.2
1618318218658,Publishing value to func/room2/ahum value: 378.60278470233067
1618318218658,Received value from mavg/room1/rhum value 184.2
1618318218659,Publishing value to func/room1/ahum value: 212.91411812659746
1618318219658,Received value from mavg/room1/temp value 57.800000000000004
1618318219658,Received value from mavg/room1/rhum value 164.7
1618318219658,Received value from mavg/room2/temp value 61.899999999999984
1618318219659,Received value from mavg/room2/rhum value 195.39999999999998
1618318219659,Publishing value to func/room1/ahum value: 195.5217917453336
1618318219659,Publishing value to func/room2/ahum value: 277.54839584414236
1618318220659,Received value from mavg/room1/temp value 61.5
1618318220659,Received value from mavg/room2/rhum value 179.89999999999998
1618318220659,Received value from mavg/room1/rhum value 168.39999999999998
1618318220659,Publishing value to func/room1/ahum value: 235.0989406891082
1618318220659,Received value from mavg/room2/temp value 58.499999999999986
1618318220659,Publishing value to func/room2/ahum value: 220.28769909444026
1618318221658,Received value from mavg/room1/rhum value 183.99999999999997
1618318221659,Received value from mavg/room2/temp value 59.79999999999998
1618318221659,Received value from mavg/room1/temp value 63
1618318221659,Received value from mavg/room2/rhum value 174.49999999999997
1618318221659,Publishing value to func/room2/ahum value: 226.2435081728591
1618318221659,Publishing value to func/room1/ahum value: 274.0106949663993
1618318222658,Received value from mavg/room1/rhum value 205.89999999999998
1618318222658,Received value from mavg/room2/rhum value 178.59999999999997
1618318222658,Received value from mavg/room2/temp value 60.499999999999986
1618318222658,Publishing value to func/room2/ahum value: 238.74617862265447
1618318222659,Received value from mavg/room1/temp value 64.5
1618318222659,Publishing value to func/room1/ahum value: 326.8614820984958
1618318223658,Received value from mavg/room2/temp value 64.69999999999999
1618318223658,Received value from mavg/room1/rhum value 219.59999999999997
1618318223659,Received value from mavg/room2/rhum value 181.99999999999997
1618318223659,Publishing value to func/room2/ahum value: 291.37925418704754
1618318223659,Received value from mavg/room1/temp value 66
1618318223659,Publishing value to func/room1/ahum value: 371.3797451845
1618318224658,Received value from mavg/room1/temp value 67.5
