# timestamp,line
1618318205657,About to produce siggen/room2/rhum
1618318205658,About to produce siggen/room1/temp
1618318205658,About to produce siggen/room2/temp
1618318205658,About to produce siggen/room1/rhum
1618318206657,Produced value to siggen/room1/rhum value: 50
1618318206657,Produced value to siggen/room1/temp value: 20
1618318206657,Produced value to siggen/room2/rhum value: 61.7
1618318206658,Produced value to siggen/room2/temp value: 19.3
1618318207657,Produced value to siggen/room2/rhum value: 59.4
1618318207657,Produced value to siggen/room2/temp value: 19.7
1618318207658,Produced value to siggen/room1/rhum value: 55.3
1618318207658,Produced value to siggen/room1/temp value: 20.5
1618318208657,Produced value to siggen/room1/rhum value: 63.1
1618318208657,Produced value to siggen/room2/temp value: 19.5
1618318208657,Produced value to siggen/room1/temp value: 21
1618318208657,Produced value to siggen/room2/rhum value: 58.8
1618318209657,Produced value to siggen/room2/rhum value: 56.3
1618318209657,Produced value to siggen/room1/rhum value: 65.6
1618318209657,Produced value to siggen/room2/temp value: 20.6
1618318209658,Produced value to siggen/room1/temp value: 21.5
1618318210657,Produced value to siggen/room1/rhum value: 77.2
1618318210657,Produced value to siggen/room2/temp value: 20.4
1618318210658,Produced value to siggen/room1/temp value: 22
1618318210658,Produced value to siggen/room2/rhum value: 63.5
1618318211657,Produced value to siggen/room1/rhum value: 76.8
1618318211657,Produced value to siggen/room2/temp value: 23.7
1618318211658,Produced value to siggen/room1/temp value: 22.5
1618318211658,Produced value to siggen/room2/rhum value: 62.2
1618318212657,Produced value to siggen/room1/rhum value: 84.9
1618318212657,Produced value to siggen/room1/temp value: 23
1618318212657,Produced value to siggen/room2/temp value: 22
1618318212657,Produced value to siggen/room2/rhum value: 68.1
1618318213658,Produced value to siggen/room2/temp value: 24.2
1618318213658,Produced value to siggen/room2/rhum value: 73.6
1618318213658,Produced value to siggen/room1/rhum value: 81
1618318213658,Produced value to siggen/room1/temp value: 24.5
1618318214657,Produced value to siggen/room2/temp value: 26.1
1618318214657,Produced value to siggen/room1/rhum value: 89.7
